# key<TAB>en<TAB>ja<TAB>ko — zh comes from module TSVs; missing/untranslated keys fall back to zh.
settings_language	Language	言語	언어
crvm_phase_save_source_stopped	Saving source text was stopped	原文の保存を停止しました	원문 저장이 중지되었습니다
crvm_phase_reading_source	Reading saved source text	保存済みの原文を読み込み中	저장된 원문 읽는 중
crvm_phase_extract_chunk	Extracting chunk %1$d	第%1$dチャンクを抽出中	%1$d번째 청크 추출 중
crvm_phase_verify_chunk	Verifying source evidence for chunk %1$d	第%1$dチャンクの原文エビデンスを照合中	%1$d번째 청크의 원문 근거 검증 중
crvm_phase_chunk_saved	Chunk %1$d saved	第%1$dチャンクを保存しました	%1$d번째 청크 저장됨
crvm_phase_extract_done	Extraction complete	抽出完了	추출 완료
crvm_phase_extract_stopped	Stopped. You can continue extracting from the saved position.	停止しました。保存済み位置から抽出を続けられます。	중지되었습니다. 저장된 위치에서 추출을 계속할 수 있습니다.
crvm_phase_extract_interrupted	Extraction interrupted. You can continue from the saved position.	抽出が中断されました。保存済み位置から続けられます。	추출이 중단되었습니다. 저장된 위치에서 계속할 수 있습니다.
crvm_extract_progress_chunk	Chunk %1$d/%2$d: processing %3$d–%4$d of %5$d characters; saved up to %6$d	第%1$d/%2$dチャンク：%3$d–%4$d / %5$d文字を処理中。%6$dまで保存済み	청크 %1$d/%2$d: %3$d–%4$d / %5$d자 처리 중. %6$d까지 저장됨
crvm_extract_progress_saved	Saved %1$d/%2$d characters, %3$d world book entries in total	%1$d/%2$d文字を保存。ワールドブックは計%3$d件	%1$d/%2$d자 저장, 총 월드북 항목 %3$d개
crvm_error_source_too_large	The source exceeds 4,000,000 characters. Split it into multiple files first; nothing was truncated or processed.	原文が400万文字を超えています。先に複数のファイルに分割してください。切り詰めや処理は一切していません。	원문이 400만 자를 초과합니다. 먼저 여러 파일로 나눠 주세요. 잘라내거나 처리한 내용은 없습니다.
crvm_error_source_length_mismatch	The source length does not match the draft record. Please import it again.	原文の長さがドラフトの記録と一致しません。再インポートしてください。	원문 길이가 초안 기록과 일치하지 않습니다. 다시 가져와 주세요.
crvm_error_open_card_draft_first	Open a character card draft first.	先にキャラカードのドラフトを開いてください。	먼저 캐릭터 카드 초안을 여세요.
crvm_error_cannot_export_card	The character card cannot be exported right now.	現在キャラカードをエクスポートできません。	현재 캐릭터 카드를 내보낼 수 없습니다.
crvm_error_cover_required_for_png	Set a cover on the character card page before exporting PNG.	PNGをエクスポートする前に、キャラカードページでカバーを設定してください。	PNG를 내보내기 전에 캐릭터 카드 페이지에서 커버를 설정하세요.
crvm_error_png_export_roundtrip	Failed to read back the exported PNG character card.	エクスポートしたPNGキャラカードの読み返しに失敗しました。	내보낸 PNG 캐릭터 카드를 다시 읽는 데 실패했습니다.
crvm_error_open_worldbook_draft_first	Open a world book draft first.	先にワールドブックのドラフトを開いてください。	먼저 월드북 초안을 여세요.
crvm_error_cannot_export_worldbook	The world book cannot be exported right now.	現在ワールドブックをエクスポートできません。	현재 월드북을 내보낼 수 없습니다.
crvm_error_card_export_roundtrip	Failed to read back the exported character card.	エクスポートしたキャラカードの読み返しに失敗しました。	내보낸 캐릭터 카드를 다시 읽는 데 실패했습니다.
crvm_error_cover_card_roundtrip	Failed to read back the cover character card.	カバー付きキャラカードの読み返しに失敗しました。	커버가 포함된 캐릭터 카드를 다시 읽는 데 실패했습니다.
crvm_error_name_required	Enter at least the character name.	少なくともキャラクター名を入力してください。	최소한 캐릭터 이름을 입력하세요.
crvm_error_lore_empty	The world book has empty entries or entries without trigger keywords.	ワールドブックに空のエントリ、またはトリガーキーワードがないエントリがあります。	월드북에 빈 항목 또는 트리거 키워드가 없는 항목이 있습니다.
crvm_error_frontend_portable	The frontend does not meet the current portability constraints: %1$s	フロントエンドが現在の移植性制約を満たしていません：%1$s	프론트엔드가 현재 이식성 제약을 충족하지 않습니다: %1$s
crvm_error_worldbook_required	Enter the world book name and keep at least one entry.	ワールドブック名を入力し、エントリを1つ以上残してください。	월드북 이름을 입력하고 항목을 하나 이상 유지하세요.
crvm_worldbook_export_roundtrip_failed	Failed to read back the exported world book.	エクスポートしたワールドブックの読み返しに失敗しました。	내보낸 월드북을 다시 읽는 데 실패했습니다.
crvm_failed_default	Creation failed	作成に失敗しました	창작 실패
creng_phase_receiving_draft	Receiving draft	ドラフトを受信中	초안 수신 중
creng_phase_model_thinking	The model is thinking	モデルが思考中	모델이 사고 중
creng_phase_waiting_model	Waiting for the model	モデルの応答を待機中	모델 응답 대기 중
creng_phase_prepare_request	Preparing model request	モデルリクエストを準備中	모델 요청 준비 중
creng_phase_connecting	Connecting to the model	モデルに接続中	모델 연결 중
creng_phase_validating	Validating the structured draft	構造化ドラフトを検証中	구조화 초안 검증 중
creng_phase_exec_tool	Turn %1$d: running tool %2$s	第%1$dターン：ツール%2$sを実行中	%1$d턴: 도구 %2$s 실행 중
creng_phase_condensed_retry	Output was truncated; retrying once with a condensed prompt	出力が切り詰められたため、要約して1回再試行しています	출력이 잘려서 축약 프롬프트로 한 번 재시도하는 중
creng_phase_repair_format	The draft format was invalid; repairing once	ドラフト形式が無効のため、1回修復しています	초안 형식이 잘못되어 한 번 복구하는 중
creng_phase_connect_retry	Connection failed; retrying (1/1)	接続に失敗しました。再試行中（1/1）	연결 실패, 재시도 중(1/1)
creng_round_prefix	Turn %1$d:	第%1$dターン：	%1$d턴:
creng_repair_prefix	Format repair:	形式修復：	형식 복구:
creng_condensed_prefix	Condensed retry:	要約再試行：	축약 재시도:
creng_agent_reply_format_invalid	The AI returned a draft in an invalid format	AIが無効な形式のドラフトを返しました	AI가 잘못된 형식의 초안을 반환했습니다
creng_tool_loop_stalled	The tool loop went three consecutive turns without a complete call or reply (%1$s). Automatic retries have stopped; the draft is unchanged.	ツールループが3ターン連続で完全な呼び出しや返信を得られませんでした（%1$s）。自動再試行を停止し、ドラフトは変更していません。	도구 루프가 3턴 연속 완전한 호출이나 응답을 얻지 못했습니다(%1$s). 자동 재시도를 중지했으며 초안은 변경되지 않았습니다.
creng_error_extract_invalid	Still no valid structure after repeated retries (output too long or invalid format). This chunk was not applied; you can continue from the saved position.	再試行を繰り返しても有効な構造が得られませんでした（出力が長すぎるか形式が無効）。このチャンクは適用していません。保存済み位置から続けられます。	반복 재시도 후에도 유효한 구조를 얻지 못했습니다(출력이 너무 길거나 형식이 잘못됨). 이 청크는 적용되지 않았으며 저장된 위치에서 계속할 수 있습니다.
creng_error_provider_not_supported	The current provider does not support chat generation. Select a text model in Settings first.	現在のプロバイダーは会話生成に対応していません。先に設定でテキストモデルを選択してください。	현재 공급자는 대화 생성을 지원하지 않습니다. 먼저 설정에서 텍스트 모델을 선택하세요.
creng_default_model_label	Default model	デフォルトモデル	기본 모델
creng_stage_body_output	Body output	本文出力	본문 출력
creng_stage_reasoning_output	Reasoning output	思考出力	사고 출력
creng_stage_before_first_chunk	Before the first streaming chunk	最初のストリーミングチャンクを受信する前	첫 스트리밍 청크 수신 전
creng_error_stream_interrupted	The model request was interrupted at %1$s (%2$d chunks received, error %3$s%4$s): %5$s	モデルリクエストが%1$sで中断されました（%2$dチャンク受信、エラー%3$s%4$s）：%5$s	모델 요청이 %1$s에 중단되었습니다(%2$d개 청크 수신, 오류 %3$s%4$s): %5$s
creng_error_no_content	The model returned no content	モデルがコンテンツを返しませんでした	모델이 콘텐츠를 반환하지 않았습니다
setimg_anlas_guard_label	Anlas guard (stay within the free tier)	Anlasガード（無料枠内で生成）	Anlas 가드(무료 한도 내 생성)
setimg_cancel	Cancel	キャンセル	취소
setimg_comfy_header	Image model (ComfyUI)	生図モデル（ComfyUI）	이미지 모델(ComfyUI)
setimg_comfy_model_help_count	Fetched %1$d models; type to filter	%1$d個のモデルを取得しました。入力で絞り込めます	모델 %1$d개를 가져왔습니다. 입력하여 필터링하세요
setimg_comfy_model_help_empty	Test the connection to fetch the model list from ComfyUI	接続テスト後にComfyUIからモデル一覧を取得できます	연결 테스트 후 ComfyUI에서 모델 목록을 가져올 수 있습니다
setimg_comfy_model_label	Model (Checkpoint)	モデル（Checkpoint）	모델(Checkpoint)
setimg_comfy_model_placeholder	Enter the model name bound to the %model% placeholder in your workflow; optional	ワークフローの%model%プレースホルダに対応するモデル名。空欄可	워크플로의 %model% 자리 표시자에 해당하는 모델 이름, 비워 둘 수 있음
setimg_comfy_params_button	Generation params & default negative prompt	生成パラメータとデフォルトネガティブ	생성 매개변수 및 기본 부정 프롬프트
setimg_comfy_url_help	Address of the ComfyUI running on your computer. Once a workflow is configured and saved, a "Generate image" entry appears in the chat input bar.	PC上で動いているComfyUIのアドレス。ワークフローを設定して保存すると、チャット入力欄に「画像を生成」が現れます。	PC에서 실행 중인 ComfyUI 주소입니다. 워크플로를 구성하고 저장하면 채팅 입력창에 "이미지 생성" 항목이 나타납니다.
setimg_comfy_url_label	ComfyUI server address	ComfyUIサーバーアドレス	ComfyUI 서버 주소
setimg_decrisper_label	Decrisper (reduces high-CFG artifacts)	Decrisper（高CFGのアーティファクト低減）	Decrisper(고 CFG 아티팩트 감소)
setimg_engine_comfy	ComfyUI (remote)	ComfyUI（リモート）	ComfyUI(원격)
setimg_engine_desc	The engine used by the "Generate image" button in the chat input bar (applies immediately, no save needed). Configure each engine's connection and parameters in its section below.	チャット入力欄の「画像を生成」ボタンが使うエンジンです（即時反映、保存不要）。各エンジンの接続とパラメータは下の対応ブロックで設定します。	채팅 입력창의 "이미지 생성" 버튼이 사용하는 엔진입니다(즉시 적용, 저장 불필요). 각 엔진의 연결과 매개변수는 아래 해당 블록에서 설정합니다.
setimg_engine_header	Image engine	生図エンジン	이미지 엔진
setimg_engine_novelai	NovelAI (remote)	NovelAI（リモート）	NovelAI(원격)
setimg_entry_summary	Current engine: %1$s (%2$s)	現在のエンジン：%1$s（%2$s）	현재 엔진: %1$s(%2$s)
setimg_entry_title	Image gen (engine & model)	生図（エンジンとモデル）	이미지 생성(엔진 및 모델)
setimg_height_label	Height	高さ	높이
setimg_model_label	Model	モデル	모델
setimg_negative_label	Default negative prompt	デフォルトネガティブプロンプト	기본 부정 프롬프트
setimg_novelai_header	NovelAI image gen (remote)	NovelAI生図（リモート）	NovelAI 이미지 생성(원격)
setimg_novelai_negative_help	The Tavern default negative is appended after each request's negative	酒館のデフォルトネガティブは、毎回のリクエストのネガティブの後に連結されます	Tavern 기본 부정 프롬프트는 매 요청의 부정 프롬프트 뒤에 붙습니다
setimg_novelai_params_button	Generation params, sampler & prompt prefix	生成パラメータ・サンプラー・プロンプト接頭辞	생성 매개변수, 샘플러, 프롬프트 접두사
setimg_novelai_params_dialog_body	Matches the SillyTavern NovelAI source: prefix and negative are appended to every request automatically. After changing, go back to Settings and tap "Save".	酒館（SillyTavern）のNovelAIソースと同一：接頭辞とネガティブは毎回のリクエストに自動で連結されます。変更後は設定ページに戻り「保存」をタップしてください。	SillyTavern의 NovelAI 소스와 동일합니다: 접두사와 부정 프롬프트는 매 요청에 자동으로 붙습니다. 변경 후 설정 페이지로 돌아가 "저장"을 누르세요.
setimg_novelai_params_dialog_title	NovelAI image gen parameters	NovelAI生図パラメータ	NovelAI 이미지 생성 매개변수
setimg_novelai_sampler_label	Sampler	サンプラー	샘플러
setimg_novelai_scheduler_label	Scheduler	スケジューラ	스케줄러
setimg_novelai_steps_help	Max 50; limited to 28 with Anlas guard on	上限50。Anlasガード有効時は28	최대 50, Anlas 가드 사용 시 28
setimg_novelai_token_help	novelai.net → Account settings → Persistent Token; requires a valid subscription (e.g. Opus)	novelai.net → アカウント設定 → Persistent Token。有効なサブスクリプション（Opusなど）が必要です	novelai.net → 계정 설정 → Persistent Token. 유효한 구독(예: Opus) 필요
setimg_novelai_token_label	NovelAI token (Persistent Token)	NovelAIトークン（Persistent Token）	NovelAI 토큰(Persistent Token)
setimg_ok	OK	確定	확인
setimg_params_dialog_body	Parameters replace the matching placeholders in the workflow. Leave sampler/scheduler empty to keep the workflow's own values. After changing, go back to Settings and tap "Save".	パラメータはワークフロー内の対応するプレースホルダを置き換えます。サンプラーとスケジューラを空欄にすると、ワークフロー自身の値を使います。変更後は設定ページに戻り「保存」をタップしてください。	매개변수는 워크플로의 해당 자리 표시자를 대체합니다. 샘플러/스케줄러를 비우면 워크플로 자체 값을 사용합니다. 변경 후 설정 페이지로 돌아가 "저장"을 누르세요.
setimg_params_dialog_title	Image gen parameters	生図パラメータ	이미지 생성 매개변수
setimg_prefix_help	Tavern default: best quality, absurdres, aesthetic; supports the {prompt} placeholder	酒館のデフォルト：best quality, absurdres, aesthetic。{prompt}プレースホルダ対応	Tavern 기본값: best quality, absurdres, aesthetic. {prompt} 자리 표시자 지원
setimg_prefix_label	Prompt prefix	プロンプト接頭辞	프롬프트 접두사
setimg_sampler_label	Sampler (optional)	サンプラー（空欄可）	샘플러(비워 둘 수 있음)
setimg_sampler_placeholder	euler, dpmpp_2m, etc.	euler, dpmpp_2m など	euler, dpmpp_2m 등
setimg_save	Save	保存	저장
setimg_scheduler_label	Scheduler (optional)	スケジューラ（空欄可）	스케줄러(비워 둘 수 있음)
setimg_scheduler_placeholder	normal, karras, etc.	normal, karras など	normal, karras 등
setimg_seed_help	-1 for random each time	-1で毎回ランダム	-1이면 매번 무작위
setimg_seed_label	Seed	シード	시드
setimg_smea_dyn_label	DYN (varied SMEA)	DYN（多様なSMEA）	DYN(다양한 SMEA)
setimg_smea_label	SMEA (high-res enhancement)	SMEA（高解像度強化）	SMEA(고해상도 강화)
setimg_state_configured	Configured	設定済み	구성됨
setimg_state_unconfigured	Not configured	未設定	미구성
setimg_status_connected	Connected	接続済み	연결됨
setimg_status_failed	Connection failed	接続失敗	연결 실패
setimg_steps_label	Steps	ステップ数	스텝 수
setimg_test_connection	Test connection	接続テスト	연결 테스트
setimg_test_token	Test token	トークンテスト	토큰 테스트
setimg_testing	Testing...	テスト中...	테스트 중...
setimg_token_ok	Token works	トークンは有効です	토큰 사용 가능
setimg_token_unavailable	Unavailable	利用できません	사용할 수 없음
setimg_upscale_help	1 = no upscaling	1で拡大なし	1 = 확대 없음
setimg_upscale_label	Upscale factor	拡大倍率	확대 배율
setimg_variety_label	Variety+ (diversity boost)	Variety+（多様性強化）	Variety+(다양성 강화)
setimg_width_label	Width	幅	너비
setimg_workflow_configured	Workflow JSON (configured — tap to edit)	ワークフローJSON（設定済み、タップで編集）	워크플로 JSON(구성됨, 탭하여 편집)
setimg_workflow_dialog_body	Enable Developer Mode in the ComfyUI web UI, export the workflow with "Save (API Format)" and paste it here. Then set the positive/negative prompt nodes' text to the placeholders "%prompt%" and "%negative_prompt%". Optional placeholders: "%model%", "%seed%", "%steps%", "%scale%", "%width%", "%height%", "%sampler%", "%scheduler%", "%denoise%", "%clip_skip%" (parameters without a matching placeholder are ignored). After changing, go back to Settings and tap "Save".	ComfyUIのWeb UIで開発者モードを有効にし、「保存（API形式）」でワークフローをエクスポートしてここに貼り付けます。そのうえで、ポジティブ/ネガティブプロンプトノードのテキストをプレースホルダ「%prompt%」「%negative_prompt%」に変更してください。任意のプレースホルダ：「%model%」「%seed%」「%steps%」「%scale%」「%width%」「%height%」「%sampler%」「%scheduler%」「%denoise%」「%clip_skip%」（ワークフローに対応するプレースホルダがないパラメータは反映されません）。変更後は設定ページに戻り「保存」をタップしてください。	ComfyUI 웹 UI에서 개발자 모드를 켜고 "저장(API 형식)"으로 워크플로를 내보내 여기에 붙여넣으세요. 그런 다음 긍정/부정 프롬프트 노드의 텍스트를 자리 표시자 "%prompt%"와 "%negative_prompt%"로 바꾸세요. 선택적 자리 표시자: "%model%", "%seed%", "%steps%", "%scale%", "%width%", "%height%", "%sampler%", "%scheduler%", "%denoise%", "%clip_skip%"(워크플로에 해당 자리 표시자가 없는 매개변수는 적용되지 않음). 변경 후 설정 페이지로 돌아가 "저장"을 누르세요.
setimg_workflow_dialog_title	ComfyUI workflow JSON	ComfyUIワークフローJSON	ComfyUI 워크플로 JSON
setimg_workflow_field_label	API-format workflow	API形式ワークフロー	API 형식 워크플로
setimg_workflow_json_error	Could not parse the JSON. Check it and retry	JSONを解析できませんでした。確認してから確定してください	JSON을 구문 분석할 수 없습니다. 확인 후 다시 시도하세요
setimg_workflow_unconfigured	Workflow JSON (not configured)	ワークフローJSON（未設定）	워크플로 JSON(미구성)
setpre_cancel	Cancel	キャンセル	취소
setpre_cat_openai_compatible	OpenAI compatible	OpenAI互換	OpenAI 호환
setpre_cd_close_editor	Close preset editor	プリセットエディタを閉じる	프리셋 편집기 닫기
setpre_cd_collapse	Collapse	折りたたむ	접기
setpre_cd_drag_sort	Long-press and drag to sort	長押しでドラッグして並べ替え	길게 눌러 드래그하여 정렬
setpre_cd_expand	Expand	展開	펼치기
setpre_cd_in_use	In use	使用中	사용 중
setpre_cd_more	More actions	その他の操作	더 많은 작업
setpre_cd_save_preset	Save preset	プリセットを保存	프리셋 저장
setpre_create	Create	作成	만들기
setpre_create_title	New preset	新規プリセット	새 프리셋
setpre_delete	Delete	削除	삭제
setpre_empty	No presets yet. Create one to configure generation parameters.	プリセットがありません。作成して生成パラメータを設定しましょう。	프리셋이 없습니다. 하나 만들어 생성 매개변수를 구성하세요.
setpre_export	Export	エクスポート	내보내기
setpre_import	Import	インポート	가져오기
setpre_import_file	File: %1$s	ファイル：%1$s	파일: %1$s
setpre_import_help	Choose the provider category this preset belongs to; it decides the directory it is written to and where it can be selected in chat.	このプリセットが属するプロバイダーカテゴリを選択してください。保存先のディレクトリと、チャットで選択できる範囲が決まります。	이 프리셋이 속할 공급자 카테고리를 선택하세요. 저장될 디렉터리와 채팅에서 선택 가능한 범위가 결정됩니다.
setpre_import_title	Import preset	プリセットをインポート	프리셋 가져오기
setpre_max_completion_label	Max reply tokens	最大返信トークン	최대 응답 토큰
setpre_max_context_label	Max context tokens	最大コンテキストトークン	최대 컨텍스트 토큰
setpre_max_tokens_help	Leave empty to let tellev cap the output length	空欄の場合、tellevは出力長を制限しません	비워 두면 tellev이 출력 길이를 제한하지 않습니다
setpre_max_tokens_label	Max tokens	最大トークン数	최대 토큰 수
setpre_move_down	Move down	下へ	아래로
setpre_move_up	Move up	上へ	위로
setpre_name_label	Preset name	プリセット名	프리셋 이름
setpre_not_in_order	Not in order	順序未追加	순서 미추가
setpre_preserved_fields	Kept but not applied: %1$s	保持済み・未適用：%1$s	유지되었으나 적용되지 않음: %1$s
setpre_prompts_order_help	Tap to expand; long-press the handle to reorder. Unused prompts can be enabled directly.	タップで展開。ハンドルを長押ししてドラッグで並べ替え。未使用の項目はそのまま有効化できます。	탭하여 펼치고, 핸들을 길게 눌러 드래그하여 순서를 바꿉니다. 미사용 항목은 바로 활성화할 수 있습니다.
setpre_prompts_order_title	Prompt order	プロンプト順序	프롬프트 순서
setpre_provider_category_label	Provider category	プロバイダーカテゴリ	공급자 카테고리
setpre_provider_label	Provider	プロバイダー	공급자
setpre_raw_json_hint	The JSON object is validated before saving.	保存前にJSONオブジェクトを検証します。	저장 전에 JSON 개체를 검증합니다.
setpre_raw_json_invalid	The raw field must be a valid JSON object	生フィールドは有効なJSONオブジェクトである必要があります	원시 필드는 유효한 JSON 개체여야 합니다
setpre_raw_json_label	Raw JSON	生JSON	원시 JSON
setpre_rename	Rename	名前を変更	이름 바꾸기
setpre_save	Save	保存	저장
setpre_save_as	Save as	別名で保存	다른 이름으로 저장
setpre_section_generation	Generation parameters	生成パラメータ	생성 매개변수
setpre_section_generation_sub	Temperature, Top-P, token caps and file operations	Temperature、Top-P、トークン上限、ファイル操作	Temperature, Top-P, 토큰 한도 및 파일 작업
setpre_section_header	Generation presets	生成プリセット	생성 프리셋
setpre_section_raw	Advanced raw JSON	高度な生JSON	고급 원시 JSON
setpre_section_raw_sub	Unknown fields are kept as-is and exported with the preset	未知のフィールドはそのまま保持され、プリセットと一緒にエクスポートされます	알 수 없는 필드는 그대로 유지되며 프리셋과 함께 내보내집니다
setpre_set_current	Set as current	現在に設定	현재로 설정
setpre_set_current_active	Set as current (already current)	現在に設定（現在です）	현재로 설정(이미 현재)
setpre_summary_active	%1$d prompts enabled · %2$d regex	%1$d件のプロンプトを有効 · 正規表現%2$d件	프롬프트 %1$d개 활성화 · 정규식 %2$d개
setpre_target_name_label	Save-as / rename target name	別名保存・名前変更後の名称	다른 이름으로 저장/이름 변경 후 이름
setpre_temperature_value	Temperature: %1$s	温度：%1$s	온도: %1$s
setpre_unsupported_fields	Not yet in the runtime path: %1$s.	まだ実行経路に入っていません：%1$s。	아직 런타임 경로에 없습니다: %1$s.
setprov_advanced	Advanced settings	詳細設定	고급 설정
setprov_api_key_label	API key	APIキー	API 키
setprov_base_url_label	Base URL	インターフェースアドレス	엔드포인트 주소
setprov_cd_delete_config	Delete this config	この設定を削除	이 구성 삭제
setprov_cd_hide_api_key	Hide API key	APIキーを隠す	API 키 숨기기
setprov_cd_show_api_key	Show API key	APIキーを表示	API 키 표시
setprov_config_name_label	Config name	設定名	구성 이름
setprov_current_label	Current	現在使用中	현재 사용 중
setprov_current_tag	Current	現在	현재
setprov_custom_config_fallback	Custom config	カスタム設定	사용자 지정 구성
setprov_header	Model service	モデルサービス	모델 서비스
setprov_manage	Manage model service configs	モデルサービス設定を管理	모델 서비스 구성 관리
setprov_model_help_count	Type to filter; fetched %1$d models	入力で絞り込めます。%1$d個のモデルを取得済み	입력하여 필터링, 모델 %1$d개 가져옴
setprov_model_help_empty	This service returned no model list; you can type one manually	このサービスはモデル一覧を返しません。手動で入力できます	이 서비스는 모델 목록을 반환하지 않습니다. 직접 입력할 수 있습니다
setprov_model_label	Model	モデル	모델
setprov_model_placeholder	Select or type a model ID	モデルIDを選択または入力	모델 ID를 선택하거나 입력
setprov_new_custom	New custom config	新規カスタム設定	새 사용자 지정 구성
setprov_no_model	No model specified yet	まだモデルが指定されていません	아직 모델이 지정되지 않았습니다
setprov_provider_label	Provider	プロバイダー	공급자
setprov_quick_switch_help	The selection takes effect on the next generation	選択すると次の生成から即使用されます	선택하면 다음 생성부터 즉시 적용됩니다
setprov_quick_switch_label	Quick switch config	設定のクイック切り替え	빠른 구성 전환
setprov_save	Save	保存	저장
setprov_status_connected	Connected	接続済み	연결됨
setprov_status_failed	Connection failed	接続失敗	연결 실패
setprov_test_connection	Test connection	接続テスト	연결 테스트
setprov_testing	Testing...	テスト中...	테스트 중...
setabout_author	Author	作者	제작자
setabout_author_bilibili	Bilibili: 迷迭香のねこ	Bステーション：迷迭香のねこ	Bilibili: 迷迭香のねこ
setabout_auto_check	Check for updates on launch	起動時に更新を自動確認	실행 시 업데이트 자동 확인
setabout_auto_check_desc	When off, launching no longer checks online; manual check here still works	オフにすると起動時のオンライン確認をスキップします。ここでの手動確認は引き続き利用できます	끄면 실행 시 온라인 확인을 하지 않으며, 여기서 수동 확인은 계속 가능합니다
setabout_based_on_st	A native Android client based on SillyTavern.	SillyTavernベースのネイティブAndroidクライアント。	SillyTavern 기반 네이티브 Android 클라이언트입니다.
setabout_copy_qq_group	Copy QQ group number: 754350480	QQグループ番号をコピー：754350480	QQ 그룹 번호 복사: 754350480
setabout_license	License	ライセンス	라이선스
setabout_license_line1	tellev continues to be released under the GNU Affero General Public License v3.0 (AGPL-3.0).	tellevは引き続きGNU Affero General Public License v3.0（AGPL-3.0）でリリースされます。	tellev은 계속해서 GNU Affero General Public License v3.0(AGPL-3.0)으로 배포됩니다.
setabout_license_line2	You may freely use, copy, modify and distribute this program; when distributing modified versions or offering network services, provide the corresponding source code under AGPL-3.0.	本プログラムは自由に利用・複製・改変・配布できます。改変版の配布やネットワークサービスの提供時には、AGPL-3.0に基づき対応するソースコードを提供してください。	이 프로그램은 자유롭게 사용, 복제, 수정, 배포할 수 있습니다. 수정 버전을 배포하거나 네트워크 서비스를 제공할 때는 AGPL-3.0에 따라 해당 소스 코드를 제공해야 합니다.
setabout_license_line3	The tellev name, icon and author information are for official releases only; unauthorized use to impersonate official versions or for misleading commercial distribution is prohibited.	tellevの名称・アイコン・作者情報は公式版の表示にのみ使用できます。公式版への偽装や誤解を招く商業配布への無断利用は禁止です。	tellev 이름, 아이콘, 제작자 정보는 공식 버전 표시에만 사용됩니다. 공식 버전 사칭이나 오도성 상업 배포에 무단 사용할 수 없습니다.
setabout_open_bilibili	Open the author's Bilibili page	作者のBステーションページを開く	제작자의 Bilibili 페이지 열기
setabout_qq_copied	Copied group number 754350480	グループ番号754350480をコピーしました	그룹 번호 754350480이(가) 복사되었습니다
setabout_qq_group	QQ group: tellev酒馆交流群	QQグループ：tellev酒館交流群	QQ 그룹: tellev酒馆交流群
setabout_title	About	このアプリについて	정보
setabout_version	tellev v%1$s	tellev v%1$s	tellev v%1$s
setapp_accent_classic	Classic blue-violet	クラシック青紫	클래식 청보라
setapp_accent_label	Accent color	テーマカラー	테마 색상
setapp_accent_warm	Warm orange	ウォームオレンジ	웜 오렌지
setapp_bubble_alpha	Bubble opacity: %1$d%%	バブル不透明度：%1$d%%	말풍선 불투명도: %1$d%%
setapp_font_size	Chat font size: %1$d sp	チャット文字サイズ：%1$d sp	채팅 글자 크기: %1$d sp
setapp_preview_text	Preview: this is a sample chat message	プレビュー：これはチャット文字のサンプルです	미리보기: 채팅 텍스트 샘플입니다
setapp_theme_dark	Dark	ダーク	다크
setapp_theme_light	Light	ライト	라이트
setapp_theme_system	Follow system	システムに従う	시스템 설정 따름
setapp_title	Theme	テーマ	테마
setappctl_accent_classic	Classic blue-violet	クラシック青紫	클래식 청보라
setappctl_accent_switched	Accent color changed to %1$s.	テーマカラーを%1$sに切り替えました。	테마 색상이 %1$s(으)로 변경되었습니다.
setappctl_accent_warm	Warm orange	ウォームオレンジ	웜 오렌지
setappctl_theme_dark	Dark	ダーク	다크
setappctl_theme_light	Light	ライト	라이트
setappctl_theme_switched	Theme changed to %1$s.	テーマを%1$sに切り替えました。	테마가 %1$s(으)로 변경되었습니다.
setappctl_theme_system	Follow system	システムに従う	시스템 설정 따름
setbkp_cancel	Cancel	キャンセル	취소
setbkp_export	Export backup	バックアップをエクスポート	백업 내보내기
setbkp_export_confirm	Export	エクスポート	내보내기
setbkp_export_message	A ZIP backup will be created. Saved secrets are not included unless explicitly supported later. Choose where to save it.	ZIPバックアップを作成します。保存済みのシークレットは、今後明示的に対応されない限り含まれません。保存先を選択してください。	ZIP 백업이 생성됩니다. 저장된 시크릿은 이후 명시적으로 지원되지 않는 한 포함되지 않습니다. 저장 위치를 선택하세요.
setbkp_import	Import backup	バックアップをインポート	백업 가져오기
setbkp_import_confirm	Import	インポート	가져오기
setbkp_import_message	Warning: importing a backup overwrites all current data and cannot be undone. Continue?	警告：バックアップをインポートすると現在のすべてのデータが上書きされ、元に戻せません。続行しますか？	경고: 백업을 가져오면 현재 모든 데이터를 덮어쓰며 되돌릴 수 없습니다. 계속하시겠습니까?
setbkp_title	Backup	バックアップ	백업
setcomp_add_cd	Add	追加	추가
setcompat_auth_header_label	Auth header	認証Header	인증 헤더
setcompat_auth_scheme_label	Auth prefix	認証プレフィックス	인증 접두사
setcompat_auth_scheme_placeholder	Bearer; optional	Bearer。空欄可	Bearer, 비워 둘 수 있음
setcompat_chat_completions_path_label	Chat Completions path	Chat Completionsパス	Chat Completions 경로
setcompat_done	Done	完了	완료
setcompat_extra_body_hint	Core fields such as messages/model/stream are never overridden	messages/model/streamなどの主要フィールドは上書きされません	messages/model/stream 등 핵심 필드는 덮어쓰지 않습니다
setcompat_extra_body_label	Extra body (JSON)	追加リクエストボディ（JSON）	추가 요청 본문(JSON)
setcompat_extra_headers_label	Extra headers (JSON)	追加Headers（JSON）	추가 헤더(JSON)
setcompat_include_usage	Send stream_options.include_usage	stream_options.include_usageを送信	stream_options.include_usage 전송
